isoform_id	normalized_count
uc011lsn.1	0.0000
uc010unu.1	7.5128
uc010uoa.1	0.3998
uc002bgz.2	28.4719
uc002bic.2	0.0000
uc010zzl.1	192.5179
uc001jiu.2	1153.1080
uc010qhg.1	0.0000
uc011krn.1	0.0000
uc003wfr.3	66.9234
uc003wft.3	22.5064
uc003wfu.2	175.3332
uc011kup.1	8.7163
uc011mlh.1	0.3998
uc010nib.1	0.0000
uc010ihw.1	0.0000
uc004dpj.2	0.3998
uc010zub.1	3.1986
uc001qoa.2	5.5976
uc010ewg.2	0.0000
uc010ewh.1	0.0000
uc011cjl.1	0.3998
uc010mpu.1	0.0000
uc003ydl.1	0.0000
uc010mgi.2	0.0000
uc011lec.1	0.0000
uc003prp.2	0.3998
uc002jye.1	5.6496
uc002jyf.2	308.8202
uc002jyg.1	80.9615
uc010crq.1	7.9966
uc010yxg.1	2.3990
uc011lsc.1	646.9240
uc011cbi.1	0.0000
uc001jfy.3	0.0000
uc010mnx.1	0.0000
uc003hdz.3	4.7980
uc004cpd.1	37.6919
uc004cpe.1	715.5387
uc011mgy.1	29.6354
uc003emg.2	96.7587
uc002qsd.3	260.3249
uc002qsf.1	25.0053
uc001jjh.2	0.0000
uc001jji.2	0.0000
uc001jjj.2	0.0000
uc001jjk.1	0.0000
uc009xov.2	0.0000
uc010qhn.1	0.0000
uc010qho.1	0.0000
uc002cyr.1	0.0000
uc002cys.2	0.0000
uc002cyt.2	0.0000
uc002cyv.1	0.0000
uc002cyw.2	0.0000
uc002cyx.2	0.0000
uc002cyy.2	0.0000
uc010buf.1	0.0000
uc010uxz.1	0.0000
uc010uya.1	0.0000
uc010uyb.1	0.0000
uc010uyc.1	0.0000
uc001voq.1	16.9967
uc001vor.2	11.9429
uc001vos.2	0.0000
uc001quz.3	0.0000
uc001qva.1	0.0000
uc001qvb.1	0.7997
uc010sgm.1	3.9983
uc001qvj.1	3694.9515
uc001qvk.1	4737.8225
uc009zgk.1	0.0000
uc003bdb.2	780.4110
uc010gzd.2	102.8121
uc003ers.2	0.0000
uc003tdz.2	0.0000
uc003teb.1	0.0000
uc003tek.3	0.0000
uc010kwo.1	0.0000
uc010kwp.1	0.0000
uc010kwq.1	0.0000
uc010kwx.1	0.0000
uc010kwy.2	0.0000
uc011kaq.1	0.0000
uc001scr.3	1003.5718
uc001scs.3	0.0000
uc003mjk.2	0.0000
uc011dgk.1	0.0000
uc011dgl.1	0.0000
uc001uhc.2	467.9204
uc001uhd.2	139.0007
uc009zyg.2	0.5838
uc009zyh.2	250.4651
uc009zyi.2	13.2583
uc003ezc.2	0.0000
uc010hvn.2	0.0000
uc001aug.1	0.0000
uc009vnn.1	0.0000
uc001auf.2	0.0000
uc003eze.2	0.0000
